id,userId,type,description,amount,createdAt
cmoimqp6x38czqo0fxgonybtq,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:14.6
cmoimqpc038d1qo0fuv6cpnnb,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:14.783
cmoimqpru38d3qo0fwwniex2a,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:15.353
cmoimqpyk38d5qo0f6rmya9ov,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:15.595
cmoimqqf638d7qo0fzwlnnfpy,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:16.193
cmoimqqm738d9qo0f3ilfaia6,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:16.446
cmoimqr2s38dbqo0fhb0k3f15,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:17.043
cmoimqr8h38ddqo0fmlw7s7jy,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:17.247
cmoimqros38dfqo0f795mhn8h,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:17.835
cmoimqruc38dhqo0f07eyos7q,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:18.035
cmoimqsa738djqo0fcmg3qsj7,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:18.606
cmoimqsfu38dlqo0fr6cr0naj,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:18.809
cmoimqsw938dnqo0f4xibbhoh,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:19.4
cmoimqt4q38dpqo0f7hgaaa92,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:19.705
cmoimqtmb38drqo0fh6mjwnhs,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:20.338
cmoimqtrp38dtqo0ff4uq4yvn,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:20.532
cmoimwssz38dvqo0f2iyy5e1c,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:00:59.218
cmoimwu7t38dxqo0fq1vj3hb1,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:01.047
cmoimx39t38dzqo0f4yydj6ws,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:12.784
cmoimx3uf38e1qo0fi8guop7x,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:13.526
cmoimxc4l38e3qo0fqsk9v7ir,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:24.26
cmoimxcab38e5qo0fab45or0q,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:24.466
cmoimxm3y38e7qo0f9e3nubgh,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:37.196
cmoimxmne38e9qo0fisrn8a3g,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:37.897
cmoimy7es38ebqo0f83omhe9y,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:02:04.804
cmoimz2sh38edqo0fhnlc9uvn,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:02:45.47
cmoimzl6t38efqo0f1a9w14g0,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:03:09.314
cmoimzlqh38ehqo0f7dww72id,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:03:10.018
cmoimzm6438ejqo0fumtyqsys,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:03:10.585
cmoimzmbp38elqo0fjywgvzuk,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:03:10.788
cmoin0obb38enqo0fdnxvjnag,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:04:00.019
cmoin0ow538epqo0fygox89k0,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:04:00.771
cmoin1nia38erqo0fpyi89rae,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:04:45.628
cmoin1o2a38etqo0ffegdc7my,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:04:46.352
cmoin27p638evqo0f4ct82h0v,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:05:11.8
cmoin289s38exqo0f1aj3cbd6,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:05:12.54
cmoin2lq038ezqo0ft67ovx22,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:05:29.974
cmoin2m9m38f1qo0fm4ag40fd,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:05:30.681
cmoin2np938f3qo0f8lzco96t,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:05:32.539
cmoin4jsm38f5qo0flav1i13i,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:07:00.789
cmoin4jxm38f7qo0fyhgp26hg,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:07:00.968
cmoin512038f9qo0f77dscnxb,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:07:23.159
cmoin51lf38fbqo0f7vkmvkw2,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:07:23.857
cmoin5ckg38fdqo0f4q33rsjf,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:07:38.079
cmoin7xac38ffqo0fjd13d50v,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:09:38.243
cmoin898r38fhqo0fwlydemk7,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:09:53.737
cmoinausd38fjqo0fqbogl5t1,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:11:54.965
cmoincyxk38flqo0fov201sh2,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:13:33.655
cmoincz3t38fnqo0fn112t0fm,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:13:33.879
cmoindvvd38fpqo0f4uqgibbl,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:14:16.343
cmoinlu3438frqo0fem13q3vy,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:20:27.276
cmoinlun038ftqo0fdz8e8skm,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:20:27.994
cmoinp1rb38fvqo0f1myhlq6n,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:22:57.188
cmoinp2cb38fxqo0fe5ytarqc,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:22:57.943
cmoinp2sn38fzqo0fnlw3rs8p,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:22:58.532
cmoinwyza38g1qo0fje03jdr9,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:29:06.834
cmoinxkzl38g3qo0fbev6ptxw,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:29:35.356
cmoinxl5038g5qo0fg7bt7sro,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:29:35.552
cmoiny2it38g7qo0fizad4yil,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:29:58.08
cmoiny32838g9qo0fbb596ory,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:29:58.778
cmoinzeo038gbqo0fz7swwh9t,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:31:00.474
cmoio04h138gdqo0f5v695d6b,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:31:33.924
cmoio1fjq38gfqo0fviqfc01v,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:32:34.934
cmoio3t8v38ghqo0f6qhomwbr,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:34:26
cmoio444r38gjqo0fvmg4ra8l,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:34:40.108
cmoio4s3138glqo0fvu738u89,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:35:11.15
cmoio4tqz38gnqo0fa5nr4y6z,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:35:13.304
cmoio7q9g38gpqo0fr7ibmoca,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:37:28.755
cmoio8qaw38grqo0frgaspgkv,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:38:15.465
cmoio9u7938gtqo0f53o8p465,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:39:07.174
cmoio9upe38gvqo0fguxk6adh,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:39:07.826
cmoioajv138gxqo0fkvq0k6ci,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:39:40.428
cmoiod2tf38gzqo0fh8rawaxg,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:41:38.306
cmoiodqj038h1qo0f2zta8q2l,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:09.035
cmoiodvuz38h3qo0fpfz2im98,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:15.946
cmoiodw0v38h5qo0fiw63e0gg,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:42:16.157
cmoiodwfl38h7qo0fdgn6f7is,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:16.687
cmoiodwlh38h9qo0fjsck26do,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:42:16.899
cmoiodx2e38hbqo0fa4vlmhqk,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:17.507
cmoiodx7e38hdqo0fwpowjuzo,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:42:17.689
cmoiodxmj38hfqo0fhdouspfg,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:18.233
cmoiodxrl38hhqo0f3f7kalik,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:42:18.416
cmoiody6k38hjqo0flv4uybiv,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:18.953
cmoiodyss38hlqo0fqirbtfkg,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:42:19.755
cmoioeni338hnqo0f3twgri11,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:42:51.77
cmoiof64638hpqo0fj5qxluiu,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:43:15.893
cmoiok06m38hrqo0fh6rpnal6,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:47:01.484
cmoiom0yu38htqo0fwwudf3ti,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:48:35.809
cmoiomelc38hvqo0fikdx4b6i,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:48:53.469
cmoiomf6138hxqo0fjdllqrkb,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:48:54.212
cmoiomfmo38hzqo0fcmsr25if,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:48:54.813
cmoiomulo38i1qo0f3nlfxyuq,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:49:14.218
cmoiophdr38i3qo0f6labd3xy,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:51:17.056
cmoioqejt38i5qo0fnel728op,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:52:00.041
cmoioqf2938i7qo0fn76lmxuf,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 13:52:00.706
cmoiorhxc38i9qo0fml2ayeb2,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:52:51.071
cmoip0xwn38ibqo0fe1nz9wnn,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:00:11.687
cmoip1l3v38idqo0fxhurh6t2,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:00:41.756
cmoip1lm838ifqo0finus1cxo,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:00:42.416
cmoip2tso38ihqo0f01s773kz,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 14:01:39.667
cmoip2v9c38ijqo0fe09c5cxb,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 14:01:41.566
cmoip60u438ilqo0fnf1d5oyf,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:08.765
cmoip61cf38inqo0f08zhqgqw,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:09.423
cmoip61wu38ipqo0f9mw60bk8,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:10.158
cmoip62eo38irqo0fx6lux3ft,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:10.801
cmoip62wp38itqo0ftxq81rx8,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:11.449
cmoip63f238ivqo0fj767httv,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:12.11
cmoip63vu38ixqo0fo9r6u776,cmoilcgeq389cqo0f7wk908dj,USAGE,Export: TIFF,-1,2026-04-28 14:04:12.714
cmoip8isx38izqo0fn594k5h7,cmoilcgeq389cqo0f7wk908dj,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 14:06:05.36
cmoip9oun38j1qo0fgeaxafy4,cmoilcgeq389cqo0f7wk908dj,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 14:06:59.854
